datetime,retraining_flag,model_name,MLPPredictor,LSTMSoftplusPredictor,TransformerPredictor,SigmaLSTMPredictor
2018-07-07 09:00:00,False,,1.2171291,5.709962e-05,5.769563e-05,0.017879114
2018-07-07 10:00:00,False,,1.2011887,5.674201e-05,5.7576428e-05,0.010305484
2018-07-07 11:00:00,False,,1.1454936,5.674201e-05,5.7576428e-05,0.019622555
2018-07-07 12:00:00,False,,1.1544188,5.6861216e-05,5.7576428e-05,0.00044687762
2018-07-07 13:00:00,False,,1.3438052,5.6980418e-05,5.769563e-05,0.004421873
2018-07-07 14:00:00,False,,1.4045138,5.7218822e-05,5.817244e-05,0.0015438942
2018-07-07 15:00:00,False,,1.4306031,5.6503606e-05,5.8410846e-05,0.03382718
2018-07-07 16:00:00,False,,1.3965958,5.674201e-05,5.805324e-05,0.0021804774
2018-07-07 17:00:00,False,,1.4888219,5.6861216e-05,5.8410846e-05,0.02052248
2018-07-07 18:00:00,False,,1.4139394,5.6980418e-05,5.805324e-05,0.00937797
2018-07-07 19:00:00,False,,1.4395417,5.674201e-05,5.805324e-05,0.03751053
2018-07-07 20:00:00,False,,1.5748329,5.6861216e-05,5.8291644e-05,0.0033315483
2018-07-07 21:00:00,False,,1.5962403,5.709962e-05,5.8530048e-05,0.0014827242
2018-07-07 22:00:00,False,,1.4896622,5.674201e-05,5.864925e-05,0.014059294
2018-07-07 23:00:00,False,,1.6541128,5.6265202e-05,5.8410846e-05,0.02321326
2018-07-08 00:00:00,False,,1.5952281,5.4953973e-05,5.864925e-05,0.0053638504
2018-07-08 01:00:00,False,,1.388079,5.6980418e-05,5.8530048e-05,0.023727383
2018-07-08 02:00:00,False,,1.384017,5.6861216e-05,5.8530048e-05,6.291071e-06
2018-07-08 03:00:00,False,,1.2893424,5.674201e-05,5.817244e-05,0.025264418
2018-07-08 04:00:00,False,,1.44461,5.709962e-05,5.8291644e-05,0.0036310737
2018-07-08 05:00:00,False,,1.4075124,5.6861216e-05,5.8410846e-05,0.0007928819
2018-07-08 06:00:00,False,,1.1858772,5.662281e-05,5.805324e-05,0.010345095
2018-07-08 07:00:00,False,,1.198553,5.6861216e-05,5.805324e-05,0.01219544
2018-07-08 08:00:00,False,,1.0671607,5.674201e-05,5.805324e-05,0.0050750053
2018-07-08 09:00:00,False,,1.2317232,5.6861216e-05,5.8291644e-05,0.0022874465
2018-07-08 10:00:00,False,,1.2246569,5.674201e-05,5.7934038e-05,0.0015525616
2018-07-08 11:00:00,False,,1.2728184,5.6980418e-05,5.7814836e-05,0.0016268993
2018-07-08 12:00:00,False,,1.212177,5.662281e-05,5.7814836e-05,0.025415154
2018-07-08 13:00:00,False,,0.99993974,5.6980418e-05,5.769563e-05,0.020885698
2018-07-08 14:00:00,False,,1.1028715,5.674201e-05,5.805324e-05,0.01266875
2018-07-08 15:00:00,False,,1.04938,5.674201e-05,5.769563e-05,5.283905e-05
2018-07-08 16:00:00,False,,1.1893549,5.6861216e-05,5.7814836e-05,0.00021317114
2018-07-08 17:00:00,False,,1.0166949,5.6861216e-05,5.7934038e-05,0.0030240486
2018-07-08 18:00:00,False,,1.0468425,5.674201e-05,5.7576428e-05,0.027310053
2018-07-08 19:00:00,False,,0.7678007,5.6861216e-05,5.7457226e-05,0.03864686
2018-07-08 20:00:00,False,,0.69223696,5.674201e-05,5.7338024e-05,0.02006863
2018-07-08 21:00:00,False,,0.72462535,5.6980418e-05,5.7576428e-05,0.008183945
2018-07-08 22:00:00,False,,0.7479367,5.674201e-05,5.7814836e-05,0.0065276683
2018-07-08 23:00:00,True,,0.3187202,5.674201e-05,5.6384404e-05,0.069244176
2018-07-09 00:00:00,False,,0.589164,5.7338024e-05,5.7218822e-05,1.2453822e-05
2018-07-09 01:00:00,False,,1.0230355,5.674201e-05,5.7576428e-05,0.032462973
2018-07-09 02:00:00,False,,1.032311,5.6980418e-05,5.7457226e-05,0.002967298
2018-07-09 03:00:00,False,,1.0333451,5.6861216e-05,5.7576428e-05,0.0059810043
2018-07-09 04:00:00,False,,1.0317907,5.674201e-05,5.7457226e-05,0.006668933
2018-07-09 05:00:00,False,,1.0229243,5.6980418e-05,5.7576428e-05,0.011924358
2018-07-09 06:00:00,False,,0.9823702,5.674201e-05,5.769563e-05,0.05001792
2018-07-09 07:00:00,False,,1.007789,5.674201e-05,5.769563e-05,7.659856e-05
2018-07-09 08:00:00,False,,1.0898395,5.662281e-05,5.7814836e-05,0.0069919825
2018-07-09 09:00:00,False,,1.081178,5.6861216e-05,5.7934038e-05,0.003364406
2018-07-09 10:00:00,False,,1.0195981,5.7218822e-05,5.7934038e-05,0.038333718
2018-07-09 11:00:00,False,,1.0974736,5.6861216e-05,5.769563e-05,0.015904466
2018-07-09 12:00:00,False,,1.0933986,5.6384404e-05,5.7576428e-05,0.04986749
2018-07-09 13:00:00,False,,1.0567969,5.6980418e-05,5.7814836e-05,0.0019736835
2018-07-09 15:00:00,False,,1.1102275,5.662281e-05,5.805324e-05,0.012949261
2018-07-09 16:00:00,False,,1.1549364,5.6861216e-05,5.817244e-05,0.0022118913
